"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"d:\webdev\projects\AWS\eventgo-aws\remote\event\event.js", "JavaScript", 0, 146, 12, 14, 172
"d:\webdev\projects\AWS\eventgo-aws\remote\event\event.tag.js", "JavaScript", 0, 149, 0, 10, 159
"d:\webdev\projects\AWS\eventgo-aws\remote\event\event.ticket.js", "JavaScript", 0, 157, 1, 8, 166
"d:\webdev\projects\AWS\eventgo-aws\remote\index.js", "JavaScript", 0, 140, 11, 7, 158
"d:\webdev\projects\AWS\eventgo-aws\remote\organizer\organizer.events.js", "JavaScript", 0, 17, 0, 3, 20
"d:\webdev\projects\AWS\eventgo-aws\remote\organizer\organizer.js", "JavaScript", 0, 97, 11, 12, 120
"d:\webdev\projects\AWS\eventgo-aws\remote\organizer\organizer.tags.js", "JavaScript", 0, 17, 0, 5, 22
"d:\webdev\projects\AWS\eventgo-aws\remote\package-lock.json", "JSON", 375, 0, 0, 1, 376
"d:\webdev\projects\AWS\eventgo-aws\remote\package.json", "JSON", 16, 0, 0, 1, 17
"d:\webdev\projects\AWS\eventgo-aws\remote\postgres.js", "JavaScript", 0, 29, 0, 2, 31
"d:\webdev\projects\AWS\eventgo-aws\remote\user\user.friend.js", "JavaScript", 0, 94, 1, 8, 103
"d:\webdev\projects\AWS\eventgo-aws\remote\user\user.js", "JavaScript", 0, 145, 17, 12, 174
"Total", "-", 391, 991, 53, 83, 1518
